ts,equity,daily_pnl
1783970897,799.32,-0.42
1783970912,799.33,-0.42
1783970928,799.31,-0.42
1783970943,799.30,-0.42
1783970959,799.31,-0.42
1783970974,799.31,-0.42
1783970990,799.32,-0.42
1783971005,799.32,-0.42
1783971021,799.30,-0.42
1783971036,799.29,-0.42
1783971053,799.28,-0.42
1783971068,799.28,-0.42
1783971084,799.27,-0.42
1783971099,799.27,-0.42
1783971116,799.27,-0.42
1783971131,799.26,-0.42
1783971147,799.24,-0.42
1783971162,799.24,-0.42
1783971190,799.22,-0.42
1783971205,799.20,-0.42
1783971221,799.21,-0.42
1783971236,799.22,-0.42
1783971252,799.20,-0.42
1783971267,799.20,-0.42
1783971283,799.18,-0.42
